temperature_K,context_id,surface_id,endurance_binary,score
100.0,ctx_steep_cleavage_case35,EXP_03599,0,56.0
100.0,ctx_steep_cleavage_case35,EXP_03606,0,13.0
100.0,ctx_steep_cleavage_case35,EXP_03626,0,52.0
100.0,ctx_steep_cleavage_case35,EXP_03634,1,78.5
100.0,ctx_steep_cleavage_case35,EXP_03642,1,67.0
100.0,ctx_steep_cleavage_case35,EXP_03754,1,11.0
100.0,ctx_steep_cleavage_case35,EXP_03767,1,55.0
100.0,ctx_slow_threshold_case101,EXP_00012,0,12.0
100.0,ctx_slow_threshold_case101,EXP_00017,1,68.5
100.0,ctx_slow_threshold_case101,EXP_00059,0,35.0
100.0,ctx_slow_threshold_case101,EXP_00129,1,68.5
100.0,ctx_slow_threshold_case101,EXP_00269,0,15.0
100.0,ctx_slow_threshold_case101,EXP_00294,0,36.0
100.0,ctx_slow_threshold_case101,EXP_00347,0,21.0
100.0,ctx_slow_threshold_case101,EXP_00378,0,24.0
100.0,ctx_slow_threshold_case101,EXP_00383,0,5.5
100.0,ctx_slow_threshold_case101,EXP_00454,0,20.0
100.0,ctx_slow_threshold_case101,EXP_00465,0,38.0
100.0,ctx_slow_threshold_case101,EXP_00483,0,32.0
100.0,ctx_slow_threshold_case101,EXP_00497,0,23.0
100.0,ctx_slow_threshold_case101,EXP_00511,1,5.5
100.0,ctx_slow_threshold_case101,EXP_00534,0,68.5
100.0,ctx_slow_threshold_case101,EXP_00542,1,68.5
100.0,ctx_slow_threshold_case101,EXP_00558,0,34.0
100.0,ctx_slow_threshold_case101,EXP_00559,0,68.5
100.0,ctx_slow_threshold_case101,EXP_00575,1,68.5
100.0,ctx_slow_threshold_case101,EXP_00634,1,68.5
100.0,ctx_slow_threshold_case101,EXP_00721,0,68.5
100.0,ctx_slow_threshold_case101,EXP_00726,0,45.0
100.0,ctx_slow_threshold_case101,EXP_00760,0,5.5
100.0,ctx_slow_threshold_case101,EXP_00772,1,68.5
100.0,ctx_slow_threshold_case101,EXP_00823,0,68.5
100.0,ctx_slow_threshold_case101,EXP_00884,0,5.5
100.0,ctx_slow_threshold_case101,EXP_00995,1,68.5
100.0,ctx_slow_threshold_case101,EXP_01078,0,44.0
100.0,ctx_slow_threshold_case101,EXP_01163,1,5.5
100.0,ctx_slow_threshold_case101,EXP_01271,0,31.0
100.0,ctx_slow_threshold_case101,EXP_01336,0,16.0
100.0,ctx_slow_threshold_case101,EXP_01355,0,25.0
100.0,ctx_slow_threshold_case101,EXP_01357,0,42.0
100.0,ctx_slow_threshold_case101,EXP_01402,1,68.5
100.0,ctx_slow_threshold_case101,EXP_01558,1,68.5
100.0,ctx_slow_threshold_case101,EXP_01559,1,68.5
100.0,ctx_slow_threshold_case101,EXP_01622,1,68.5
100.0,ctx_slow_threshold_case101,EXP_01625,0,68.5
100.0,ctx_slow_threshold_case101,EXP_01666,0,68.5
100.0,ctx_slow_threshold_case101,EXP_01826,1,68.5
100.0,ctx_slow_threshold_case101,EXP_01846,0,17.0
100.0,ctx_slow_threshold_case101,EXP_01854,1,68.5
100.0,ctx_slow_threshold_case101,EXP_01870,0,19.0
100.0,ctx_slow_threshold_case101,EXP_01909,0,68.5
100.0,ctx_slow_threshold_case101,EXP_01979,0,5.5
100.0,ctx_slow_threshold_case101,EXP_02004,0,27.0
100.0,ctx_slow_threshold_case101,EXP_02066,0,68.5
100.0,ctx_slow_threshold_case101,EXP_02071,0,68.5
100.0,ctx_slow_threshold_case101,EXP_02116,1,68.5
100.0,ctx_slow_threshold_case101,EXP_02165,0,43.0
100.0,ctx_slow_threshold_case101,EXP_02210,0,5.5
100.0,ctx_slow_threshold_case101,EXP_02254,1,68.5
100.0,ctx_slow_threshold_case101,EXP_02262,0,18.0
100.0,ctx_slow_threshold_case101,EXP_02297,1,48.0
100.0,ctx_slow_threshold_case101,EXP_02314,0,39.0
100.0,ctx_slow_threshold_case101,EXP_02325,0,68.5
100.0,ctx_slow_threshold_case101,EXP_02344,0,14.0
100.0,ctx_slow_threshold_case101,EXP_02346,0,22.0
100.0,ctx_slow_threshold_case101,EXP_02366,1,68.5
100.0,ctx_slow_threshold_case101,EXP_02390,1,68.5
100.0,ctx_slow_threshold_case101,EXP_02503,1,68.5
100.0,ctx_slow_threshold_case101,EXP_02620,0,68.5
100.0,ctx_slow_threshold_case101,EXP_02650,0,40.0
100.0,ctx_slow_threshold_case101,EXP_02666,1,68.5
100.0,ctx_slow_threshold_case101,EXP_02690,0,33.0
100.0,ctx_slow_threshold_case101,EXP_02694,0,49.0
100.0,ctx_slow_threshold_case101,EXP_02702,1,68.5
100.0,ctx_slow_threshold_case101,EXP_02786,0,47.0
100.0,ctx_slow_threshold_case101,EXP_02829,0,68.5
100.0,ctx_slow_threshold_case101,EXP_03024,0,29.0
100.0,ctx_slow_threshold_case101,EXP_03146,0,46.0
100.0,ctx_slow_threshold_case101,EXP_03155,0,30.0
100.0,ctx_slow_threshold_case101,EXP_03198,0,28.0
100.0,ctx_slow_threshold_case101,EXP_03210,1,5.5
100.0,ctx_slow_threshold_case101,EXP_03214,0,41.0
100.0,ctx_slow_threshold_case101,EXP_03268,1,68.5
100.0,ctx_slow_threshold_case101,EXP_03269,0,26.0
100.0,ctx_slow_threshold_case101,EXP_03464,0,37.0
100.0,ctx_slow_threshold_case101,EXP_03487,0,5.5
100.0,ctx_slow_threshold_case101,EXP_03504,0,5.5
100.0,ctx_slow_threshold_case101,EXP_03599,0,68.5
100.0,ctx_slow_threshold_case101,EXP_03606,0,13.0
100.0,ctx_slow_threshold_case101,EXP_03626,0,68.5
100.0,ctx_slow_threshold_case101,EXP_03634,1,68.5
100.0,ctx_slow_threshold_case101,EXP_03642,1,68.5
100.0,ctx_slow_threshold_case101,EXP_03754,1,11.0
100.0,ctx_slow_threshold_case101,EXP_03767,1,68.5
100.0,ctx_higher_barrier_case171,EXP_00012,0,12.0
100.0,ctx_higher_barrier_case171,EXP_00017,1,70.5
100.0,ctx_higher_barrier_case171,EXP_00059,0,35.0
100.0,ctx_higher_barrier_case171,EXP_00129,1,70.5
100.0,ctx_higher_barrier_case171,EXP_00269,0,15.0
100.0,ctx_higher_barrier_case171,EXP_00294,0,36.0
100.0,ctx_higher_barrier_case171,EXP_00347,0,21.0
100.0,ctx_higher_barrier_case171,EXP_00378,0,24.0
100.0,ctx_higher_barrier_case171,EXP_00383,0,5.5
100.0,ctx_higher_barrier_case171,EXP_00454,0,20.0
100.0,ctx_higher_barrier_case171,EXP_00465,0,38.0
100.0,ctx_higher_barrier_case171,EXP_00483,0,32.0
100.0,ctx_higher_barrier_case171,EXP_00497,0,23.0
100.0,ctx_higher_barrier_case171,EXP_00511,1,5.5
100.0,ctx_higher_barrier_case171,EXP_00534,0,70.5
100.0,ctx_higher_barrier_case171,EXP_00542,1,70.5
100.0,ctx_higher_barrier_case171,EXP_00558,0,34.0
100.0,ctx_higher_barrier_case171,EXP_00559,0,50.0
100.0,ctx_higher_barrier_case171,EXP_00575,1,70.5
100.0,ctx_higher_barrier_case171,EXP_00634,1,70.5
100.0,ctx_higher_barrier_case171,EXP_00721,0,53.0
100.0,ctx_higher_barrier_case171,EXP_00726,0,45.0
100.0,ctx_higher_barrier_case171,EXP_00760,0,5.5
100.0,ctx_higher_barrier_case171,EXP_00772,1,70.5
100.0,ctx_higher_barrier_case171,EXP_00823,0,51.0
100.0,ctx_higher_barrier_case171,EXP_00884,0,5.5
100.0,ctx_higher_barrier_case171,EXP_00995,1,70.5
100.0,ctx_higher_barrier_case171,EXP_01078,0,44.0
100.0,ctx_higher_barrier_case171,EXP_01163,1,5.5
100.0,ctx_higher_barrier_case171,EXP_01271,0,31.0
100.0,ctx_higher_barrier_case171,EXP_01336,0,16.0
100.0,ctx_higher_barrier_case171,EXP_01355,0,25.0
100.0,ctx_higher_barrier_case171,EXP_01357,0,42.0
100.0,ctx_higher_barrier_case171,EXP_01402,1,70.5
100.0,ctx_higher_barrier_case171,EXP_01558,1,70.5
100.0,ctx_higher_barrier_case171,EXP_01559,1,70.5
100.0,ctx_higher_barrier_case171,EXP_01622,1,70.5
100.0,ctx_higher_barrier_case171,EXP_01625,0,70.5
100.0,ctx_higher_barrier_case171,EXP_01666,0,70.5
100.0,ctx_higher_barrier_case171,EXP_01826,1,70.5
100.0,ctx_higher_barrier_case171,EXP_01846,0,17.0
100.0,ctx_higher_barrier_case171,EXP_01854,1,70.5
100.0,ctx_higher_barrier_case171,EXP_01870,0,19.0
100.0,ctx_higher_barrier_case171,EXP_01909,0,70.5
100.0,ctx_higher_barrier_case171,EXP_01979,0,5.5
100.0,ctx_higher_barrier_case171,EXP_02004,0,27.0
100.0,ctx_higher_barrier_case171,EXP_02066,0,70.5
100.0,ctx_higher_barrier_case171,EXP_02071,0,70.5
100.0,ctx_higher_barrier_case171,EXP_02116,1,70.5
100.0,ctx_higher_barrier_case171,EXP_02165,0,43.0
100.0,ctx_higher_barrier_case171,EXP_02210,0,5.5
100.0,ctx_higher_barrier_case171,EXP_02254,1,70.5
100.0,ctx_higher_barrier_case171,EXP_02262,0,18.0
100.0,ctx_higher_barrier_case171,EXP_02297,1,48.0
100.0,ctx_higher_barrier_case171,EXP_02314,0,39.0
100.0,ctx_higher_barrier_case171,EXP_02325,0,70.5
100.0,ctx_higher_barrier_case171,EXP_02344,0,14.0
100.0,ctx_higher_barrier_case171,EXP_02346,0,22.0
100.0,ctx_higher_barrier_case171,EXP_02366,1,70.5
100.0,ctx_higher_barrier_case171,EXP_02390,1,70.5
100.0,ctx_higher_barrier_case171,EXP_02503,1,70.5
100.0,ctx_higher_barrier_case171,EXP_02620,0,70.5
100.0,ctx_higher_barrier_case171,EXP_02650,0,40.0
100.0,ctx_higher_barrier_case171,EXP_02666,1,70.5
100.0,ctx_higher_barrier_case171,EXP_02690,0,33.0
