candidate_id,parameter,A_NATIVE_value,candidate_value,changed,absolute_difference,relative_difference,active_in_cleavage,active_in_emission,active_in_transport,explicit_thermal_coordinate,active_in_state,provenance_only_in_scoped_manifest
P40_TRANSFER_CALIBRATED_GEN2,taylor_stress_fraction,0.5773502691896258,0.5773502691896258,False,0.0,0.0,False,False,True,False,True,False
P40_TRANSFER_CALIBRATED_GEN2,validation_status,NOT_EVALUATED,PROSPECTIVE_TRANSFER_FROZEN,True,,,False,False,False,False,False,False
P55_TRANSFER_V1_RANK1,L_pz_um_recommended,50,50,False,0.0,0.0,False,False,False,False,False,False
P55_TRANSFER_V1_RANK1,Tref_K,300.0,300.0,False,0.0,0.0,False,False,False,False,False,True
P55_TRANSFER_V1_RANK1,c_blunt,2.6710070092231035,2.6710070092231035,False,0.0,0.0,False,False,False,False,True,False
P55_TRANSFER_V1_RANK1,campaign_parent_family,global_300K_existing_physics,global_300K_existing_physics,False,,,False,False,False,False,False,False
P55_TRANSFER_V1_RANK1,campaign_parent_id,,,False,,,False,False,False,False,False,False
P55_TRANSFER_V1_RANK1,candidate_id,A_NATIVE,P55_TRANSFER_V1_RANK1,True,,,False,False,False,False,False,False
P55_TRANSFER_V1_RANK1,cleavage_surface_modified,True,True,False,,,False,False,False,False,False,False
P55_TRANSFER_V1_RANK1,cleave_G00_eV,1.8433725545182824,0.4766834857343931,True,-1.3666890687838893,-0.7414068661454266,True,False,False,False,False,False
P55_TRANSFER_V1_RANK1,cleave_exp_a,0.41946418629859783,0.7051755734380947,True,0.28571138713949684,0.6811341622765184,True,False,False,False,False,False
P55_TRANSFER_V1_RANK1,cleave_exp_n,2.9225786491297185,1.6654615208246726,True,-1.257117128305046,-0.4301397085342386,True,False,False,False,False,False
P55_TRANSFER_V1_RANK1,cleave_floor_frac,0.22289373425133724,0.7948653602530177,True,0.5719716260016805,2.5661180110012403,True,False,False,False,False,False
P55_TRANSFER_V1_RANK1,cleave_gT_eV_per_K,0.0,0.0,False,0.0,0.0,True,False,False,True,False,False
P55_TRANSFER_V1_RANK1,cleave_sT_GPa_per_K,0.0,0.0,False,0.0,0.0,True,False,False,True,False,False
P55_TRANSFER_V1_RANK1,cleave_sigc0_GPa,2.0952987279742956,4.7803852892727265,True,2.685086561298431,1.281481502112271,True,False,False,False,False,False
P55_TRANSFER_V1_RANK1,emit_G00_eV,1.6206148624420167,1.6206148624420167,False,0.0,0.0,False,True,False,False,True,False
P55_TRANSFER_V1_RANK1,emit_exp_a,0.3812504687253847,0.3812504687253847,False,0.0,0.0,False,True,False,False,True,False
P55_TRANSFER_V1_RANK1,emit_exp_n,2.1357398161664602,2.1357398161664602,False,0.0,0.0,False,True,False,False,True,False
P55_TRANSFER_V1_RANK1,emit_floor_frac,0.02957268757716202,0.02957268757716202,False,0.0,0.0,False,True,False,False,True,False
P55_TRANSFER_V1_RANK1,emit_gT_eV_per_K,0.0,0.0,False,0.0,0.0,False,True,False,True,True,False
P55_TRANSFER_V1_RANK1,emit_sT_GPa_per_K,0.0,0.0,False,0.0,0.0,False,True,False,True,True,False
P55_TRANSFER_V1_RANK1,emit_sigc0_GPa,1.6865767389535904,1.6865767389535904,False,0.0,0.0,False,True,False,False,True,False
P55_TRANSFER_V1_RANK1,encounter_efficiency,0.7869294861098416,0.7869294861098416,False,0.0,0.0,False,False,False,False,True,False
P55_TRANSFER_V1_RANK1,endurance_mechanism_class,A,A,False,,,False,False,False,False,False,False
P55_TRANSFER_V1_RANK1,exact_spatial_Tref_active,1,1,False,0.0,0.0,False,False,False,False,False,False
P55_TRANSFER_V1_RANK1,explicit_recovery_active,0,0,False,0.0,0.0,False,False,False,False,False,False
P55_TRANSFER_V1_RANK1,generator,seeded_scrambled_sobol_global_300K_existing_physics,seeded_scrambled_sobol_global_300K_existing_physics,False,,,False,False,False,False,False,False
P55_TRANSFER_V1_RANK1,generator_seed,1914,1914,False,0.0,0.0,False,False,False,False,False,False
P55_TRANSFER_V1_RANK1,legacy_source_refresh_active,0,0,False,0.0,0.0,False,False,False,False,False,False
P55_TRANSFER_V1_RANK1,legacy_source_sites_active,0,0,False,0.0,0.0,False,False,False,False,False,False
P55_TRANSFER_V1_RANK1,material_class,DBTT,DBTT,False,,,False,False,False,False,False,False
P55_TRANSFER_V1_RANK1,max_K_shield_MPa_sqrt_m,0,0,False,0.0,0.0,False,False,False,False,False,False
P55_TRANSFER_V1_RANK1,mechanism_summary,exact qualified Candidate A plus audited PT subset,P55 opening-cleavage design from one frozen transfer update; unchanged A_NATIVE background,True,,,False,False,False,False,False,False
P55_TRANSFER_V1_RANK1,mobile_shield_fraction,0,0,False,0.0,0.0,False,False,False,False,True,False
P55_TRANSFER_V1_RANK1,n_bins_recommended,80,80,False,0.0,0.0,False,False,False,False,False,False
P55_TRANSFER_V1_RANK1,n_slip_channels,2,2,False,0.0,0.0,False,False,False,False,False,False
P55_TRANSFER_V1_RANK1,option_key,A_NATIVE,P55_TRANSFER_V1_RANK1,True,,,False,False,False,False,False,False
P55_TRANSFER_V1_RANK1,peierls_H0_eV,3.6593758589588106,3.6593758589588106,False,0.0,0.0,False,False,True,False,True,False
P55_TRANSFER_V1_RANK1,peierls_activation_entropy_kB,-17.06620840355754,-17.06620840355754,False,0.0,0.0,False,False,True,True,True,False
P55_TRANSFER_V1_RANK1,peierls_exp_a,0.26733986329149567,0.26733986329149567,False,0.0,0.0,False,False,True,False,True,False
P55_TRANSFER_V1_RANK1,peierls_exp_n,1.996950289234519,1.996950289234519,False,0.0,0.0,False,False,True,False,True,False
P55_TRANSFER_V1_RANK1,peierls_nu0_s,1000000000000.0,1000000000000.0,False,0.0,0.0,False,False,True,False,True,False
P55_TRANSFER_V1_RANK1,peierls_stress_fraction,0.5773502691896258,0.5773502691896258,False,0.0,0.0,False,False,True,False,True,False
P55_TRANSFER_V1_RANK1,persistent_source_closure_modified,False,False,False,,,False,False,False,False,False,False
P55_TRANSFER_V1_RANK1,physics__blunting_length_m,8.204647996828617e-07,8.204647996828617e-07,False,0.0,0.0,False,False,False,False,False,True
P55_TRANSFER_V1_RANK1,physics__blunting_slip_fraction,0.292558920039094,0.292558920039094,False,0.0,0.0,False,False,False,False,False,True
P55_TRANSFER_V1_RANK1,physics__cleavage_correlation_time_s,6.992153587194454e-07,6.992153587194454e-07,False,0.0,0.0,False,False,False,False,False,True
P55_TRANSFER_V1_RANK1,physics__cleavage_hits,3.2732414351776242,3.2732414351776242,False,0.0,0.0,False,False,False,False,False,True
P55_TRANSFER_V1_RANK1,physics__encounter_efficiency,0.7869294861098416,0.7869294861098416,False,0.0,0.0,False,False,False,False,False,True
P55_TRANSFER_V1_RANK1,physics__mobile_transport_velocity_scale,0.7360197436064482,0.7360197436064482,False,0.0,0.0,False,False,False,False,False,True
P55_TRANSFER_V1_RANK1,physics__persistent_backstress_scale,0.5307370433372857,0.5307370433372857,False,0.0,0.0,False,False,False,False,False,True
P55_TRANSFER_V1_RANK1,physics__taylor_phi_max,5.6104322148902,5.6104322148902,False,0.0,0.0,False,False,False,False,False,True
P55_TRANSFER_V1_RANK1,recovery_H0_eV,0,0,False,0.0,0.0,False,False,False,False,False,False
P55_TRANSFER_V1_RANK1,recovery_activation_entropy_kB,0,0,False,0.0,0.0,False,False,False,False,False,False
P55_TRANSFER_V1_RANK1,recovery_nu0_s,0,0,False,0.0,0.0,False,False,False,False,False,False
P55_TRANSFER_V1_RANK1,reference_front_width_um,10,10,False,0.0,0.0,False,False,False,False,False,False
P55_TRANSFER_V1_RANK1,reference_source_area_um2,25,25,False,0.0,0.0,False,False,False,False,False,False
P55_TRANSFER_V1_RANK1,retained_recovery_rate_s,0,0,False,0.0,0.0,False,False,False,False,False,False
P55_TRANSFER_V1_RANK1,rho_forest_floor_m2,5000000000000,5000000000000,False,0.0,0.0,False,False,False,False,False,False
P55_TRANSFER_V1_RANK1,rho_source0_m2,3855551510837146.5,3855551510837146.5,False,0.0,0.0,False,False,False,False,True,False
P55_TRANSFER_V1_RANK1,role,Candidate-A controlled Taylor/Peierls mechanism panel,prospective fatigue-response control,True,,,False,False,False,False,False,False
P55_TRANSFER_V1_RANK1,source_recovery_rate_s,0,0,False,0.0,0.0,False,False,False,False,False,False
P55_TRANSFER_V1_RANK1,source_refresh_length_um,0,0,False,0.0,0.0,False,False,False,False,False,False
P55_TRANSFER_V1_RANK1,source_sites_per_system,141.0590567476921,141.0590567476921,False,0.0,0.0,False,False,False,False,False,False
P55_TRANSFER_V1_RANK1,source_zone_length_um,2,2,False,0.0,0.0,False,False,False,False,False,False
P55_TRANSFER_V1_RANK1,taylor_H0_eV,1.1918544578552246,1.1918544578552246,False,0.0,0.0,False,False,True,False,True,False
P55_TRANSFER_V1_RANK1,taylor_activation_entropy_kB,0.8347971364855766,0.8347971364855766,False,0.0,0.0,False,False,True,True,True,False
P55_TRANSFER_V1_RANK1,taylor_corr_rho_c_m2,749611920129.9166,749611920129.9166,False,0.0,0.0,False,False,True,False,True,False
P55_TRANSFER_V1_RANK1,taylor_corr_scale,1.818093050430288,1.818093050430288,False,0.0,0.0,False,False,True,False,True,False
P55_TRANSFER_V1_RANK1,taylor_exp_a,0.5542682043898324,0.5542682043898324,False,0.0,0.0,False,False,True,False,True,False
P55_TRANSFER_V1_RANK1,taylor_exp_n,2.2843412086367607,2.2843412086367607,False,0.0,0.0,False,False,True,False,True,False
P55_TRANSFER_V1_RANK1,taylor_nu0_s,100000000000.0,100000000000.0,False,0.0,0.0,False,False,True,False,True,False
P55_TRANSFER_V1_RANK1,taylor_stress_fraction,0.5773502691896258,0.5773502691896258,False,0.0,0.0,False,False,True,False,True,False
P55_TRANSFER_V1_RANK1,validation_status,NOT_EVALUATED,PROSPECTIVE_TRANSFER_FROZEN,True,,,False,False,False,False,False,False
