campaign_of_record,canonical_job_key,protocol,registry_status,controller_status,final_disposition,note,campaigns_referencing
PX5_static_shield,95e4e23c6b8495856f82742923c4f54c3a9b85cc1445e1f4d2ccfb40f2d7a48d,D2,SUPERSEDED_WALL_BUDGET_TOO_SMALL,COMPLETE,SUPERSEDED_WALL_BUDGET_TOO_SMALL,,PX5_static_shield
PX5_static_shield,fff3f17cef5d6490e127ba5506ee383aad83a62254a05e44e34c73b9f177bcfd,D2,AUTHORIZED_PX5,COMPLETE,ADMITTED,,PX5_static_shield
PX5_static_shield,def756cd42a35474bba54b5db616df172f876721565012c0585ca1a903bcf685,D2,AUTHORIZED_PX5,COMPLETE,ADMITTED,,PX5_static_shield
PX5_static_shield,9a9ef987660b53e316a31fade370f63efa47f5d7782aef63912e68ffbee6fc45,D2,AUTHORIZED_PX5,COMPLETE,ADMITTED,,PX5_static_shield
PX5_static_shield,8c2fdb9e6ee30fac0119e7ead79eb61f4f93d31ab36c799b6aa1f64f10240177,D2,AUTHORIZED_PX5,COMPLETE,ADMITTED,,PX5_static_shield
PX5_static_shield,476371422d32d29d56ec06d9c033b8a965adf69b69d51f490850b46b3842baf4,D2,AUTHORIZED_PX5,COMPLETE,ADMITTED,,PX5_static_shield
PX5_static_shield,a1c1b625f99fa1700a4a3d9ba26b4a5ce30cff45704e680219d0a4a0d768875e,D2,AUTHORIZED_PX5,COMPLETE,ADMITTED,,PX5_static_shield
PX5_static_shield,ca6f809a3d30cba2b869314076e15aa8b41fbbe22bb37fa2f61b88ae0b3ddeeb,D2,AUTHORIZED_PX5,COMPLETE,ADMITTED,,PX5_static_shield
PX5_static_shield,90e09720d1f9cbfa354ea866d59f7acac4a95559a215be7c1a67362e60cf44b2,D2,AUTHORIZED_PX5,COMPLETE,ADMITTED,,PX5_static_shield
PX5_static_shield,12067287ed910aed12bc8671eee7e30fe611069306c3e967fe4879feb403c24d,D2,AUTHORIZED_PX5,COMPLETE,ADMITTED,,PX5_static_shield
PX5_static_shield,1973ea7df6540425cb421b7baefc70f721eec74fea019f9116391eef39fdd426,D5,SUPERSEDED_WALL_BUDGET_TOO_SMALL,COMPLETE,SUPERSEDED_WALL_BUDGET_TOO_SMALL,,PX5_static_shield
PX5_static_shield,df2881a8baf711e30d2525a989c9396dfc0f84c6ff5a5a050b006c481953a15c,D5,AUTHORIZED_PX5,COMPLETE,ADMITTED,,PX5_static_shield
PX5_static_shield,311dbe916f74ad8d0d4762409e45c5b4ee7d8b0eaeac8eac7f65a8d75e6bad7f,D5,AUTHORIZED_PX5,COMPLETE,ADMITTED,,PX5_static_shield
PX5_static_shield,13c9093c693e9c82291c22892e4994f50609edcce3cd53756e16aa4fac279425,D5,AUTHORIZED_PX5,COMPLETE,ADMITTED,,PX5_static_shield
PX5_static_shield,e097ce57ad90b1bdac52505165be35cfb2ec2b91f1cba716b7fef7e3bc606283,D5,AUTHORIZED_PX5,COMPLETE,ADMITTED,,PX5_static_shield
PX5_static_shield,a62cac7e7ae688016d9ecb4eab6d96770b50f944e5bcbe339adf40832dd4c6f7,D5,AUTHORIZED_PX5,COMPLETE,ADMITTED,,PX5_static_shield
PX5_static_shield,16043e3c575fa5e04cc53f7bcb454bf1fc5f102475de29e353c2145d9d92cac5,D5,AUTHORIZED_PX5,COMPLETE,ADMITTED,,PX5_static_shield
PX5_static_shield,68db722ec35024d1cdc41799711ba2e4277e1bb51c5bfa8a04ffa92a84c5eaa9,D5,AUTHORIZED_PX5,COMPLETE,ADMITTED,,PX5_static_shield
PX5_static_shield,4192bccca955bee71b568568a2193caa76a6bdea32a6029190f4fa4788859095,D5,AUTHORIZED_PX5,COMPLETE,ADMITTED,,PX5_static_shield
PX5_static_shield,b39527c3a7f0182138d3b9e2ca48657611570662ccc252d33d41f89ace60bf1a,D5,AUTHORIZED_PX5,COMPLETE,ADMITTED,,PX5_static_shield
PX5_static_shield_retry,5a7a538fb1d73d286830542d49090d17c43c7761fe6c9b8e733149ef974dac1d,D2,AUTHORIZED_PX5,COMPLETE,ADMITTED,wall-budget retry of a superseded original attempt,PX5_static_shield_retry
PX5_static_shield_retry,516728278cdc9c060cb5155cece1044bac43bbd8db79b5508b7f352da4785752,D5,AUTHORIZED_PX5,COMPLETE,ADMITTED,wall-budget retry of a superseded original attempt,PX5_static_shield_retry
PX4_developed,37f8df344f5b33139b89a54e96229efd230db92abb2fa2534c31cfd8d8616636,D1,PRE_FIX_CANONICAL_KEY_NOT_IN_CURRENT_REGISTRY,INTERRUPTED_NOT_SCIENCE,INTERRUPTED_NOT_SCIENCE,wrong-budget attempt under the pre-campaign_stage-fix canonical_job_key; the corrected key for this same physical row is the ADMITTED row above,PX4_developed
PX4_developed,80d206710c3347cd07eca22c1f04282d3d9c48d026dd3af2b5de1f8a1b19797c,D1,PRE_FIX_CANONICAL_KEY_NOT_IN_CURRENT_REGISTRY,INTERRUPTED_NOT_SCIENCE,INTERRUPTED_NOT_SCIENCE,wrong-budget attempt under the pre-campaign_stage-fix canonical_job_key; the corrected key for this same physical row is the ADMITTED row above,PX4_developed
PX4_developed,c37762f4d09d9eda57761f8839f2ebb4c45c4a7ffdb320a671b547ca1c0b6137,D1,PRE_FIX_CANONICAL_KEY_NOT_IN_CURRENT_REGISTRY,INTERRUPTED_NOT_SCIENCE,INTERRUPTED_NOT_SCIENCE,wrong-budget attempt under the pre-campaign_stage-fix canonical_job_key; the corrected key for this same physical row is the ADMITTED row above,PX4_developed
