case_id,matrix,material_class,candidate_id,temperature_K,theta_deg,rate_tag,loading_rate_factor,seed,is_orientation_matrix_case,is_rate_matrix_case,target_extension_um,achieved_extension_um,target_status,numerical_event_count,physical_avalanche_count,largest_avalanche_extension_um,largest_avalanche_fraction,initial_onset_native_KJ_MPa_sqrt_m,final_reinitiation_native_KJ_MPa_sqrt_m,delta_K_reinit_MPa_sqrt_m,maximum_tip_radius_um,minimum_front_width_um,maximum_mobile_count,maximum_retained_count,maximum_backstress_GPa,maximum_absolute_shielding_MPa_sqrt_m,steps_sha256
canonical_theta0_rate__peak__T0300K__theta0__rate0p01x__seed3621,CANONICAL_STRAIN_RATE,Peak,v913_zeroD_sobol_0242980,300.0,0.0,rate0p01x,0.01,3621,False,True,1000.0,1000.0106212350875,TARGET_REACHED,207,1,1000.0106212350875,1.0,22.7306400618135,nan,nan,1.0000000000028466,9.999999989685202,9.892710034008029e-09,4.8248813157923395e-19,5.458392102314211e-06,7.04233992481004e-24,01461e4ffbf8a7e19f6af3090fe09c3afbcbe3526dbb5549537a187d3e033aad
canonical_theta0_rate__peak__T0600K__theta0__rate0p01x__seed4630,CANONICAL_STRAIN_RATE,Peak,v913_zeroD_sobol_0242980,600.0,0.0,rate0p01x,0.01,4630,False,True,1000.0,1009.3183059364883,TARGET_REACHED,194,1,1009.3183059364883,1.0,24.72457030260318,nan,nan,1.0414444678067716,1.795046594275654,120.60440157852933,4.317975319714515e-05,0.6586227474709441,4.96165217638726e-09,3b4b144490e4b3ac20b0d3c1e598e1df73ed98d717e557a2b29e3350cbaba9d9
canonical_theta0_rate__peak__T0800K__theta0__rate0p01x__seed5639,CANONICAL_STRAIN_RATE,Peak,v913_zeroD_sobol_0242980,800.0,0.0,rate0p01x,0.01,5639,False,True,1000.0,1016.7419830836919,TARGET_REACHED,196,1,1016.7419830836919,1.0,55.01055000490251,nan,nan,2.029920032304464,0.3604851066157812,3093.8303143166463,87.50670650666889,3.3316173389460366,0.009621776158196876,699c0a8c2053c472f52ee317c8b79d370bc36a6e7231d16ecd60c134b6b09975
canonical_theta0_rate__peak__T0900K__theta0__rate0p01x__seed6648,CANONICAL_STRAIN_RATE,Peak,v913_zeroD_sobol_0242980,900.0,0.0,rate0p01x,0.01,6648,False,True,1000.0,1000.1763831336864,TARGET_REACHED,180,1,1000.1763831336864,1.0,56.046569098233846,nan,nan,1.00062357345327,8.298960324475322,0.25896208521124264,2.603766575803527,0.08079184781726326,0.00016458671157980705,cf0417488d2f1a8b8ee80762f957bcb7676f632d5b2bfb0cc4cf24edff1f6840
canonical_theta0_rate__peak__T0950K__theta0__rate0p01x__seed7657,CANONICAL_STRAIN_RATE,Peak,v913_zeroD_sobol_0242980,950.0,0.0,rate0p01x,0.01,7657,False,True,1000.0,1000.8893838023652,TARGET_REACHED,214,1,1000.8893838023652,1.0,61.141711743527786,nan,nan,1.001419851264823,7.020326591835627,0.4514601633461468,5.814159309252718,0.12049637176651606,0.0007787777980936648,8c72a0ecf1c7fb66984e566c8832c660bae8b01be8eab65921c84e2c0e495f5b
canonical_theta0_rate__peak__T1000K__theta0__rate0p01x__seed8666,CANONICAL_STRAIN_RATE,Peak,v913_zeroD_sobol_0242980,1000.0,0.0,rate0p01x,0.01,8666,False,True,1000.0,1006.6612608237136,TARGET_REACHED,208,1,1006.6612608237136,1.0,66.91620674152757,nan,nan,5.4895682235801955,0.1484153911950126,31120.823905385478,5481.852947869173,8.09651114352111,0.6880351036303378,36fbafe572a5413fba2930313782f310704a171ad0c9ee09c8e94b8494d7bd8b
canonical_theta0_rate__peak__T1050K__theta0__rate0p01x__seed9675,CANONICAL_STRAIN_RATE,Peak,v913_zeroD_sobol_0242980,1050.0,0.0,rate0p01x,0.01,9675,False,True,1000.0,1000.203110835197,TARGET_REACHED,225,1,1000.203110835197,1.0,79.27984514577747,nan,nan,7.540333977855531,0.1271298184140385,58334.45860467723,1685.3318341041238,9.452401726330903,0.24748351754819636,4fdb71f846b79025709c9838bd5a54f3bb7a7b190466e8ac71734cbdba06dfb7
canonical_theta0_rate__peak__T1100K__theta0__rate0p01x__seed10684,CANONICAL_STRAIN_RATE,Peak,v913_zeroD_sobol_0242980,1100.0,0.0,rate0p01x,0.01,10684,False,True,1000.0,1016.280231244603,TARGET_REACHED,196,1,1016.280231244603,1.0,87.97612967540915,nan,nan,3.8783103400871566,0.12844987189824783,49624.85540007864,13772.335404542286,9.355245512092795,1.564000476017579,18f7cdfc09e4a04a438c23d70fe00e4027c38c53d023cf36a54e0d953b54278c
canonical_theta0_rate__peak__T1150K__theta0__rate0p01x__seed11693,CANONICAL_STRAIN_RATE,Peak,v913_zeroD_sobol_0242980,1150.0,0.0,rate0p01x,0.01,11693,False,True,1000.0,1012.3916445221486,TARGET_REACHED,211,1,1012.3916445221487,1.0000000000000002,92.05224379164433,nan,nan,9.957594507609283,0.13018580876537317,104690.08395862233,7964.77887920371,9.230479160131203,1.3523886011072201,cc69cf66d88a29140c071180d99807b285f6debe5f2cdc20e1a02cfdc686ddfe
canonical_theta0_rate__peak__T1200K__theta0__rate0p01x__seed12702,CANONICAL_STRAIN_RATE,Peak,v913_zeroD_sobol_0242980,1200.0,0.0,rate0p01x,0.01,12702,False,True,1000.0,1005.2877647058981,TARGET_REACHED,183,1,1005.2877647058981,1.0,89.41245142958152,nan,nan,11.084415179130554,0.13880915860181586,110746.09338231456,44415.46695608258,8.656946480542102,8.809294512020674,b7ad5e6f33c8ec0a135e86c2617aca3308bd18bd263926efe8afcb640a8a63d1
canonical_theta0_rate__peak__T1250K__theta0__rate0p01x__seed13711,CANONICAL_STRAIN_RATE,Peak,v913_zeroD_sobol_0242980,1250.0,0.0,rate0p01x,0.01,13711,False,True,1000.0,1001.0997928055303,TARGET_REACHED,209,1,1001.0997928055303,1.0,91.71256761529135,nan,nan,1.054314967591904,0.15641803069608987,12359.774149886958,47667.6425250881,7.682184741209619,10.279262024827785,8acfe7823bf9433c215e2655da1e4e0bd7f278508df088e7c0b73f4843344f80
canonical_theta0_rate__peak__T1300K__theta0__rate0p01x__seed14720,CANONICAL_STRAIN_RATE,Peak,v913_zeroD_sobol_0242980,1300.0,0.0,rate0p01x,0.01,14720,False,True,1000.0,1000.5888159289698,TARGET_REACHED,174,1,1000.5888159289698,1.0,88.99515820446793,nan,nan,1.3940762673096438,0.1682196354280552,40829.29231325162,47909.28526362065,7.143097063951058,10.81718738566733,64d4976efe6f951c791a8f3613e6f8b713178cdd5b0be8290e46b2fe6c927619
canonical_theta0_rate__dbtt__T0300K__theta0__rate0p01x__seed1003621,CANONICAL_STRAIN_RATE,DBTT,v913_zeroD_sobol_0202500,300.0,0.0,rate0p01x,0.01,1003621,False,True,1000.0,1006.9175877122445,TARGET_REACHED,204,2,955.1435721244351,0.9485816751841211,22.644103533952247,22.685781107853003,0.041677573900756215,1.000000000000008,9.999999999995806,4.694659235793903e-11,1.8318077859719635e-12,1.1003611485011888e-07,2.0156725859807001e-16,def32ca0f97a660d340bdde84e70548d7569cdc6dc75401de7c2fce77c3a5fa7
canonical_theta0_rate__dbtt__T0600K__theta0__rate0p01x__seed1004630,CANONICAL_STRAIN_RATE,DBTT,v913_zeroD_sobol_0202500,600.0,0.0,rate0p01x,0.01,1004630,False,True,1000.0,1002.9838218043412,TARGET_REACHED,190,2,949.7307910322467,0.94690539407077,22.65069757158845,22.684998894206288,0.03430132261783925,1.0000000002120497,9.999999307546036,2.0034389623450834e-24,6.468474248659438e-07,4.472259300696027e-05,8.756734322945208e-11,b88c128f15fcdb41750ba8b874bd6a9a6c14521f367a16a60bd7d2a537e2d4c1
